@relation ALL_AML_SigGene.train

@attribute D26156_s_at numeric
@attribute D49950_at numeric
@attribute L13278_at numeric
@attribute L47738_at numeric
@attribute L49229_f_at numeric
@attribute M11147_at numeric
@attribute M21551_rna1_at numeric
@attribute M28170_at numeric
@attribute M31211_s_at numeric
@attribute M31523_at numeric
@attribute M55150_at numeric
@attribute M62762_at numeric
@attribute M81933_at numeric
@attribute M91432_at numeric
@attribute M92287_at numeric
@attribute S50223_at numeric
@attribute U05259_rna1_at numeric
@attribute U09087_s_at numeric
@attribute U12471_cds1_at numeric
@attribute U22376_cds2_s_at numeric
@attribute U32944_at numeric
@attribute U50136_rna1_at numeric
@attribute U82759_at numeric
@attribute X15949_at numeric
@attribute X17042_at numeric
@attribute X52142_at numeric
@attribute X59417_at numeric
@attribute X74262_at numeric
@attribute X95735_at numeric
@attribute Y12670_at numeric
@attribute Z15115_at numeric
@attribute Class {ALL,AML}

@data
1595,75,193,571,337,5418,178,397,601,1320,654,835,20,767,4778,268,9326,358,160,3105,3349,1124,393,277,177,107,3016,1372,298,600,8444,ALL
822,129,31,2893,131,16000,336,20,435,898,1283,3072,20,814,2700,346,895,82,134,1118,1002,1062,118,104,3460,20,3424,1184,307,337,1920,ALL
1452,44,198,2723,529,6156,345,183,547,597,1286,609,124,1547,4926,804,628,263,167,4543,2089,1398,667,91,416,20,7724,2221,309,574,3118,ALL
654,218,91,731,422,7070,374,363,472,1644,915,935,167,831,5403,452,5314,218,104,5467,1625,942,410,403,392,190,3821,1051,693,716,4261,ALL
1011,110,194,649,354,9017,321,251,661,1322,732,1665,114,1423,3440,476,5354,186,145,3469,3502,928,119,416,7972,361,5216,1370,713,524,3425,ALL
1584,33,96,1858,327,6221,44,74,337,787,691,499,56,430,3179,256,282,209,81,3309,316,842,147,46,597,26,4194,1306,247,270,1790,ALL
578,115,178,280,354,4746,359,280,309,946,853,764,203,764,3978,208,5146,144,122,3936,1530,1066,735,267,403,191,5528,1339,52,463,3810,ALL
1024,32,112,1716,232,7881,364,235,263,1917,1238,1323,20,752,3293,310,4048,167,335,4745,1042,1668,248,314,140,179,2073,655,20,689,6153,ALL
1297,20,198,2388,568,9431,333,24,978,1440,822,1741,124,1777,7324,640,423,385,131,4081,2286,966,258,210,848,240,7782,3593,20,262,3303,ALL
971,54,20,913,20,5092,271,20,752,442,885,1188,89,426,2676,152,585,146,264,1658,934,1175,409,97,1094,96,5204,1058,492,167,1329,ALL
